trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
229,False,"{'a': 0.5, 'e': 0.10010587426148984}",20,12,-27.6853392403623,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
230,False,"{'a': 0.5, 'e': 0.09910481551887494}",20,0,17.957804887942252,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
231,False,"{'a': 0.5, 'e': 0.0981137673636862}",20,0,10.381296822051423,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
232,False,"{'a': 0.5, 'e': 0.09713262969004934}",20,15,9.798418959000914,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.09616130339314884}",20,15,8.434092186643834,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.09519969035921735}",20,14,11.264876645101829,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.09424769345562518}",25,0,-23.569952054692102,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
236,False,"{'a': 0.5, 'e': 0.09330521652106893}",20,14,11.72967123084386,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.09237216435585824}",20,0,-22.597731660791723,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
238,False,"{'a': 0.5, 'e': 0.09144844271229965}",30,0,25.64880039781604,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
239,False,"{'a': 0.5, 'e': 0.09053395828517666}",25,18,7.4357788297949154,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.08962861870232489}",30,16,24.27759741735214,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.08873233251530163}",20,10,18.26988710495596,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
