trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
76,False,"{'a': 0.5, 'e': 0.9808897557210827}",20,0,-209.8663989152132,"{0: 8, 1: 2, 2: 5, 3: 2, 4: 3}",0
77,False,"{'a': 0.5, 'e': 0.9801335269768181}",20,0,-28.108666962393663,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.9793480028816939}",20,0,-74.67703514279599,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.9785320993188098}",30,0,-179.2690842388057,"{0: 18, 1: 5, 2: 3, 3: 1, 4: 3}",0
80,False,"{'a': 0.5, 'e': 0.977684696134231}",30,0,-145.5478269130859,"{0: 16, 1: 5, 2: 6, 3: 2, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.9768046362713924}",20,0,-97.8224522260656,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.9758907249134204}",30,0,-229.26778502259162,"{0: 13, 1: 4, 2: 8, 3: 3, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.9749417286365633}",25,0,-125.38047983837411,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.9739563745782015}",20,0,-89.35844192795777,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.9729333496232302}",25,0,-65.33026349995247,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.9718712996129142}",25,0,-197.6225974768703,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
87,False,"{'a': 0.5, 'e': 0.9707688285806719}",25,0,-111.64993977117831,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.9696244980195924}",20,0,-66.5111382987937,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.9684368261868722}",25,0,-179.85325501692864,"{0: 14, 1: 4, 2: 2, 3: 2, 4: 3}",0
90,False,"{'a': 0.5, 'e': 0.9672042874507523}",20,0,-22.68636279859756,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.9659253116859411}",30,13,-156.08437067836672,"{0: 8, 1: 0, 2: 5, 3: 2, 4: 2}",1
92,False,"{'a': 0.5, 'e': 0.9645982837239441}",20,12,-15.76851676304807,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.9632215428651559}",20,0,-101.81899387294088,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.961793382460036}",20,11,-31.27399465016766,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.9603120495671519}",20,0,-86.06893496807206,"{0: 13, 1: 0, 2: 4, 3: 3, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.9587757446963663}",25,0,-82.03008481442227,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.9571826216459278}",25,11,-68.97719956762045,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.9555307874427351}",20,0,-99.32088611927054,"{0: 11, 1: 0, 2: 6, 3: 3, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.9538183023955423}",20,10,-15.180420206024097,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.9520431802713895}",35,0,-203.46879377982305,"{0: 24, 1: 2, 2: 4, 3: 1, 4: 4}",0
101,False,"{'a': 0.5, 'e': 0.9502033886060397}",20,0,-68.87406521935237,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.9482968491597148}",30,0,-49.44630387186253,"{0: 23, 1: 3, 2: 2, 3: 2, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,7,35.21578993778628,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,15,8.842785063251783,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,17,26.288431307609468,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,13,16.266783936074724,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,5,34.44310790313288,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,17,17.014842493179316,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,6,22.913826978829125,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,14,14.607313419198023,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,13,21.966362024332,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,8,20.476559266965417,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
